drug_name,reaction,n,total_drug,total_reaction,ror,pct_of_drug
Азитромицин,Отёки,2,51,222,1.4426578712292997,3.9215686274509802
Азитромицин,Гипотензия,2,51,222,1.4426578712292997,3.9215686274509802
Клонидин,Тошнота,2,51,222,1.4426578712292997,3.9215686274509802
Клопидогрел,Головокружение,2,55,206,1.4419715284601147,3.6363636363636362
Правастатин,Головная боль,3,71,225,1.441335192323464,4.225352112676056
Клоназепам,Гиперкалиемия,2,54,210,1.4405618362452894,3.7037037037037033
Эзетимиб,Тошнота,3,72,222,1.4404713131544877,4.166666666666666
Молсидомин,Запор,3,74,216,1.4404448011005389,4.054054054054054
Ацетилсалициловая кислота,Тромбоцитопения,3,69,232,1.4382524939800483,4.3478260869565215
Фондапаринукс,Шум в ушах,3,76,211,1.4355372844581475,3.9473684210526314
Трандолаприл,Сухость во рту,2,67,170,1.4348653362629398,2.9850746268656714
Рамиприл,Сухость во рту,2,67,170,1.4348653362629398,2.9850746268656714
Эзетимиб,Нарушение вкуса,3,72,223,1.4337101747173688,4.166666666666666
Ламотриджин,Повышение креатинина,3,74,217,1.433501230704028,4.054054054054054
Изосорбида мононитрат,Анемия,2,61,187,1.43230877256563,3.278688524590164
Эдоксабан,Анемия,2,61,187,1.43230877256563,3.278688524590164
Топирамат,Диарея,4,92,226,1.429556274995239,4.3478260869565215
Молсидомин,Тахикардия,3,74,218,1.4266221017961156,4.054054054054054
Торасемид,Изжога,3,73,221,1.4265381307106806,4.10958904109589
Атенолол,Повышение креатинина,4,96,217,1.4265333248939809,4.166666666666666
Циталопрам,Миалгия,2,53,216,1.4263244845769119,3.7735849056603774
Фенитоин,Миалгия,2,53,216,1.4263244845769119,3.7735849056603774
Тамсулозин,Миалгия,2,53,216,1.4263244845769119,3.7735849056603774
Золпидем,Запор,2,53,216,1.4263244845769119,3.7735849056603774
Топирамат,Лейкопения,4,92,227,1.4229325446479355,4.3478260869565215
Амилорид,Головная боль,2,51,225,1.4226154159040065,3.9215686274509802
Гидралазин,Аллергические реакции,2,58,198,1.4221216420095026,3.4482758620689653
Рилменидин,Аллергические реакции,2,58,198,1.4221216420095026,3.4482758620689653
Метопролол,Сонливость,3,62,261,1.4221185572875186,4.838709677419355
Симвастатин,Сонливость,3,62,261,1.4221185572875186,4.838709677419355
Лизиноприл,Тошнота,3,73,222,1.4198129210488055,4.10958904109589
Лизиноприл,Гипотензия,3,73,222,1.4198129210488055,4.10958904109589
Карбамазепин,Тошнота,3,73,222,1.4198129210488055,4.10958904109589
Рамелтеон,Гипогликемия,2,59,195,1.419503426581283,3.389830508474576
Эналаприл,Кашель,2,59,195,1.419503426581283,3.389830508474576
Метформин,Кашель,2,59,195,1.419503426581283,3.389830508474576
Золпидем,Повышение креатинина,2,53,217,1.419480548735161,3.7735849056603774
Тамсулозин,Повышение креатинина,2,53,217,1.419480548735161,3.7735849056603774
Амлодипин,Повышение креатинина,2,53,217,1.419480548735161,3.7735849056603774
Ацетилсалициловая кислота,Усталость,3,69,235,1.4190152801358233,4.3478260869565215
Амилорид,Диарея,2,51,226,1.4160536320892667,3.9215686274509802
Азитромицин,Диарея,2,51,226,1.4160536320892667,3.9215686274509802
Клонидин,Диарея,2,51,226,1.4160536320892667,3.9215686274509802
Эноксапарин,Головокружение,2,56,206,1.415289024472309,3.571428571428571
Бупропион,Головокружение,3,79,206,1.413579354755825,3.79746835443038
Тамсулозин,Тахикардия,2,53,218,1.4126998363192,3.7735849056603774
Моклобемид,Сыпь,3,66,247,1.411091251630356,4.545454545454546
Азилсартан,Сыпь,3,66,247,1.411091251630356,4.545454545454546
Эзетимиб,Лейкопения,3,72,227,1.4072679495601734,4.166666666666666
Этосуксимид,Тахикардия,3,75,218,1.4067205376430116,4.0
Торасемид,Брадикардия,3,73,224,1.406544674447273,4.10958904109589
Нифедипин,Тромбоцитопения,2,50,232,1.406512064762842,4.0
Розувастатин,Шум в ушах,2,55,211,1.4064416835812905,3.6363636363636362
Дексаметазон,Сыпь,2,47,247,1.4049596025156108,4.25531914893617
Вортиоксетин,Метеоризм,3,70,234,1.4040316774658028,4.285714285714286
Ламотриджин,Гипотензия,3,74,222,1.39973238606496,4.054054054054054
Молсидомин,Тошнота,3,74,222,1.39973238606496,4.054054054054054
Амлодипин,Нарушение зрения,2,53,220,1.3993246095398901,3.7735849056603774
Флуоксетин,Сыпь,4,86,247,1.3979092775807356,4.651162790697675
Кандесартан,Бессонница,4,85,250,1.3973917047250464,4.705882352941177
Эналаприл,Аллергические реакции,2,59,198,1.3971678282995907,3.389830508474576
Вальпроевая кислота,Аллергические реакции,2,59,198,1.3971678282995907,3.389830508474576
Миноксидил,Кашель,2,60,195,1.3950175578082555,3.3333333333333335
Нифедипин,Метеоризм,2,50,234,1.3939696264272254,4.0
Торасемид,Диарея,3,73,226,1.393513890872166,4.10958904109589
Амлодипин,Изжога,2,53,221,1.3927283986111416,3.7735849056603774
Клоназепам,Повышение креатинина,2,54,217,1.3922218539387914,3.7037037037037033
Рамиприл,Сыпь,3,67,247,1.3889919310093373,4.477611940298507
Гидрохлоротиазид,Сонливость,2,45,261,1.3876154408344958,4.444444444444445
Фондапаринукс,Тахикардия,3,76,218,1.3873605126505357,3.9473684210526314
Доксепин,Бессонница,2,47,250,1.3873349990050192,4.25531914893617
Залеплон,Гиперкалиемия,2,56,210,1.3872571667436693,3.571428571428571
Эноксапарин,Гиперкалиемия,2,56,210,1.3872571667436693,3.571428571428571
Эсзопиклон,Лейкопения,3,73,227,1.3870855644537112,4.10958904109589
Кандесартан,Кашель,3,85,195,1.3867768595041323,3.5294117647058822
Кандесартан,Гипогликемия,3,85,195,1.3867768595041323,3.5294117647058822
Молсидомин,Брадикардия,3,74,224,1.3866517229948383,4.054054054054054
Тамсулозин,Тошнота,2,53,222,1.3861920172599784,3.7735849056603774
Тамсулозин,Гипотензия,2,53,222,1.3861920172599784,3.7735849056603774
Амлодипин,Гипотензия,2,53,222,1.3861920172599784,3.7735849056603774
Гидралазин,Повышение печёночных ферментов,2,58,203,1.3857353038055293,3.4482758620689653
Правастатин,Метеоризм,3,71,234,1.3833141523860573,4.225352112676056
Апиксабан,Желудочно-кишечные расстройства,2,50,236,1.381641131602664,4.0
Парацетамол,Бессонница,4,86,250,1.3802323437211874,4.651162790697675
Этосуксимид,Гипотензия,3,75,222,1.3802057968737724,4.0
Молсидомин,Головная боль,3,74,225,1.3801995757051937,4.054054054054054
Золпидем,Нарушение вкуса,2,53,223,1.3797146551535207,3.7735849056603774
Бупропион,Шум в ушах,3,79,211,1.3785834077835768,3.79746835443038
Дилтиазем,Тромбоцитопения,2,51,232,1.3778785687679396,3.9215686274509802
Молсидомин,Диарея,3,74,226,1.3738051657514745,4.054054054054054
Тамсулозин,Брадикардия,2,53,224,1.3732955165266718,3.7735849056603774
Фенитоин,Брадикардия,2,53,224,1.3732955165266718,3.7735849056603774
Эплеренон,Запор,2,55,216,1.3725682417271203,3.6363636363636362
Клопидогрел,Запор,2,55,216,1.3725682417271203,3.6363636363636362
Клопидогрел,Миалгия,2,55,216,1.3725682417271203,3.6363636363636362
Парацетамол,Кашель,3,86,195,1.3699510070767555,3.488372093023256
Ламотриджин,Лейкопения,3,74,227,1.367467721587989,4.054054054054054
Этосуксимид,Брадикардия,3,75,224,1.3673075426169532,4.0
Амлодипин,Головная боль,2,53,225,1.366933819856215,3.7735849056603774
Циталопрам,Головная боль,2,53,225,1.366933819856215,3.7735849056603774
Фенитоин,Головная боль,2,53,225,1.366933819856215,3.7735849056603774
Атенолол,Диарея,4,96,226,1.366863042818099,4.166666666666666
Никорандил,Повышение креатинина,2,55,217,1.3659821757703232,3.6363636363636362
Топирамат,Желудочно-кишечные расстройства,4,92,236,1.365882996172772,4.3478260869565215
Клонидин,Метеоризм,2,51,234,1.3655913978494623,3.9215686274509802
Амилорид,Метеоризм,2,51,234,1.3655913978494623,3.9215686274509802
Азитромицин,Метеоризм,2,51,234,1.3655913978494623,3.9215686274509802
Аторвастатин,Анемия,2,64,187,1.362911051212938,3.125
Флувоксамин,Повышение печёночных ферментов,2,59,203,1.3614197863847233,3.389830508474576
Фондапаринукс,Отёки,3,76,222,1.3612105434428896,3.9473684210526314
Транилципромин,Анемия,1,38,187,1.360965147453083,2.631578947368421
Спиронолактон,Анемия,1,38,187,1.360965147453083,2.631578947368421
Фенитоин,Диарея,2,53,226,1.3606287975436244,3.7735849056603774
Золпидем,Диарея,2,53,226,1.3606287975436244,3.7735849056603774
Амлодипин,Диарея,2,53,226,1.3606287975436244,3.7735849056603774
Клоназепам,Гипотензия,2,54,222,1.3595724003887268,3.7037037037037033
Клоназепам,Тошнота,2,54,222,1.3595724003887268,3.7037037037037033
Миртазапин,Усталость,2,51,235,1.359526744965717,3.9215686274509802
Амилорид,Усталость,2,51,235,1.359526744965717,3.9215686274509802
Эплеренон,Тахикардия,2,55,218,1.359456951069478,3.6363636363636362
Эсзопиклон,Тромбоцитопения,3,73,232,1.3557842364684252,4.10958904109589
Лизиноприл,Тромбоцитопения,3,73,232,1.3557842364684252,4.10958904109589
Амлодипин,Лейкопения,2,53,227,1.3543796956063117,3.7735849056603774
Дилтиазем,Желудочно-кишечные расстройства,2,51,236,1.3535138162003835,3.9215686274509802
Эдоксабан,Аллергические реакции,2,61,198,1.349776551842111,3.278688524590164
Доксазозин,Гипогликемия,2,62,195,1.3484741708843189,3.225806451612903
Карведилол,Кашель,2,62,195,1.3484741708843189,3.225806451612903
Метопролол,Кашель,2,62,195,1.3484741708843189,3.225806451612903
Венлафаксин,Миалгия,2,56,216,1.3471696499219437,3.571428571428571
Клопидогрел,Нарушение зрения,2,55,220,1.3465856840394363,3.6363636363636362
Метформин,Головокружение,2,59,206,1.3408100350802592,3.389830508474576
Фенофибрат,Повышение креатинина,2,56,217,1.3407054215713405,3.571428571428571
Диазепам,Повышение креатинина,2,56,217,1.3407054215713405,3.571428571428571
Розувастатин,Изжога,2,55,221,1.3402380090690396,3.6363636363636362
Сертралин,Кашель,1,37,195,1.3392611895622777,2.7027027027027026
Валсартан,Метеоризм,2,52,234,1.338337059512403,3.8461538461538463
Рилменидин,Гиперкалиемия,2,58,210,1.3377262791536682,3.4482758620689653
Торасемид,Усталость,3,73,235,1.3376496606421109,4.10958904109589
Карбамазепин,Усталость,3,73,235,1.3376496606421109,4.10958904109589
Ламотриджин,Тромбоцитопения,3,74,232,1.336608924844219,4.054054054054054
Кандесартан,Сонливость,4,85,261,1.335338614569063,4.705882352941177
Фенофибрат,Тахикардия,2,56,218,1.334300908956078,3.571428571428571
Эноксапарин,Тахикардия,2,56,218,1.334300908956078,3.571428571428571
Залеплон,Тахикардия,2,56,218,1.334300908956078,3.571428571428571
Венлафаксин,Тахикардия,2,56,218,1.334300908956078,3.571428571428571
Диазепам,Тахикардия,2,56,218,1.334300908956078,3.571428571428571
Топирамат,Анемия,3,92,187,1.3339540657976412,3.260869565217391
Клопидогрел,Гипотензия,2,55,222,1.3339479093818214,3.6363636363636362
Пропранолол,Гиперкалиемия,3,82,210,1.3325301204819275,3.6585365853658534
Лизиноприл,Желудочно-кишечные расстройства,3,73,236,1.3317083542150743,4.10958904109589
Карбамазепин,Желудочно-кишечные расстройства,3,73,236,1.3317083542150743,4.10958904109589
Небиволол,Сонливость,3,66,261,1.3316833945079882,4.545454545454546
Варфарин,Шум в ушах,2,58,211,1.331129744228779,3.4482758620689653
Телмисартан,Бессонница,3,69,250,1.3298245614035087,4.3478260869565215
Клопидогрел,Нарушение вкуса,2,55,223,1.3277146051771058,3.6363636363636362
Никорандил,Нарушение вкуса,2,55,223,1.3277146051771058,3.6363636363636362
Доксазозин,Аллергические реакции,2,62,198,1.327255903938763,3.225806451612903
Вортиоксетин,Сыпь,3,70,247,1.3266227372566841,4.285714285714286
Ирбесартан,Сонливость,2,47,261,1.3261978868915285,4.25531914893617
Пропранолол,Шум в ушах,3,82,211,1.3259279368957664,3.6585365853658534
Ибупрофен,Головокружение,3,84,206,1.3258015405254668,3.571428571428571
Амлодипин,Тромбоцитопения,2,53,232,1.323947518059095,3.7735849056603774
Тамсулозин,Тромбоцитопения,2,53,232,1.323947518059095,3.7735849056603774
Бисопролол,Сухость во рту,1,43,170,1.3237896928682977,2.3255813953488373
Эноксапарин,Нарушение зрения,2,56,220,1.3216677513488548,3.571428571428571
Венлафаксин,Нарушение зрения,2,56,220,1.3216677513488548,3.571428571428571
Никорандил,Брадикардия,2,55,224,1.3215373306731073,3.6363636363636362
Эплеренон,Брадикардия,2,55,224,1.3215373306731073,3.6363636363636362
Моклобемид,Анемия,2,66,187,1.3202323491924195,3.0303030303030303
Молсидомин,Усталость,3,74,235,1.3187307316339576,4.054054054054054
Сертралин,Аллергические реакции,1,37,198,1.3182937402462285,2.7027027027027026
Апиксабан,Сыпь,2,50,247,1.3174249900266655,4.0
Эноксапарин,Изжога,2,56,221,1.3154375039184136,3.571428571428571
Эплеренон,Головная боль,2,55,225,1.3154153337933052,3.6363636363636362
Эналаприл,Гиперкалиемия,2,59,210,1.3142529454697112,3.389830508474576
Рамелтеон,Гиперкалиемия,2,59,210,1.3142529454697112,3.389830508474576
Флувоксамин,Гиперкалиемия,2,59,210,1.3142529454697112,3.389830508474576
Циталопрам,Метеоризм,2,53,234,1.312141142081637,3.7735849056603774
Золпидем,Метеоризм,2,53,234,1.312141142081637,3.7735849056603774
Атенолол,Усталость,4,96,235,1.3118323507092406,4.166666666666666
Трандолаприл,Сонливость,3,67,261,1.3108272232468174,4.477611940298507
Фуросемид,Сонливость,3,67,261,1.3108272232468174,4.477611940298507
Эпросартан,Сонливость,3,67,261,1.3108272232468174,4.477611940298507
Диазепам,Гипотензия,2,56,222,1.309263766668747,3.571428571428571
Залеплон,Отёки,2,56,222,1.309263766668747,3.571428571428571
Фенофибрат,Гипотензия,2,56,222,1.309263766668747,3.571428571428571
Вальпроевая кислота,Шум в ушах,2,59,211,1.3077721282556811,3.389830508474576
Флувоксамин,Шум в ушах,2,59,211,1.3077721282556811,3.389830508474576
Бупропион,Тошнота,3,79,222,1.307204430747242,3.79746835443038
Периндоприл,Сыпь,3,71,247,1.3070470049109608,4.225352112676056
Правастатин,Сыпь,3,71,247,1.3070470049109608,4.225352112676056
Спиронолактон,Кашель,1,38,195,1.3033419023136248,2.631578947368421
Транилципромин,Кашель,1,38,195,1.3033419023136248,2.631578947368421
Спиронолактон,Гипогликемия,1,38,195,1.3033419023136248,2.631578947368421
Розувастатин,Лейкопения,2,55,227,1.3033342313032306,3.6363636363636362
Амлодипин,Желудочно-кишечные расстройства,2,53,236,1.3005361541805536,3.7735849056603774
Циталопрам,Желудочно-кишечные расстройства,2,53,236,1.3005361541805536,3.7735849056603774
Эпросартан,Анемия,2,67,187,1.2998703730375918,2.9850746268656714
Рамиприл,Анемия,2,67,187,1.2998703730375918,2.9850746268656714
Гидралазин,Запор,2,58,216,1.2990696619015203,3.4482758620689653
Варфарин,Миалгия,2,58,216,1.2990696619015203,3.4482758620689653
Бупропион,Брадикардия,3,79,224,1.294988123164992,3.79746835443038
Доксазозин,Повышение печёночных ферментов,2,62,203,1.2932961466685808,3.225806451612903
Миноксидил,Гиперкалиемия,2,60,210,1.2915821189202483,3.3333333333333335
Диазепам,Головная боль,2,56,225,1.2910740307452333,3.571428571428571
Амилорид,Сыпь,2,51,247,1.2906046205435207,3.9215686274509802
Миртазапин,Сыпь,2,51,247,1.2906046205435207,3.9215686274509802
Периндоприл,Бессонница,3,71,250,1.2905846789058468,4.225352112676056
Клоназепам,Метеоризм,2,54,234,1.286943164362519,3.7037037037037033
Варфарин,Тахикардия,2,58,218,1.2866602628298145,3.4482758620689653
Миноксидил,Шум в ушах,2,60,211,1.2852130632560226,3.3333333333333335
Эноксапарин,Диарея,2,56,226,1.2851188165341942,3.571428571428571
Залеплон,Диарея,2,56,226,1.2851188165341942,3.571428571428571
Индапамид,Повышение печёночных ферментов,1,37,203,1.284728564180619,2.7027027027027026
Спиронолактон,Аллергические реакции,1,38,198,1.2829367088607595,2.631578947368421
Фенофибрат,Лейкопения,2,56,227,1.2792164201875547,3.571428571428571
Залеплон,Лейкопения,2,56,227,1.2792164201875547,3.571428571428571
Этосуксимид,Сухость во рту,2,75,170,1.277074628070813,2.666666666666667
Фондапаринукс,Желудочно-кишечные расстройства,3,76,236,1.2767411032935658,3.9473684210526314
Эналаприл,Миалгия,2,59,216,1.2762744501874936,3.389830508474576
Эналаприл,Запор,2,59,216,1.2762744501874936,3.389830508474576
Гидралазин,Нарушение зрения,2,58,220,1.2744780381118244,3.4482758620689653
Миртазапин,Бессонница,2,51,250,1.2744141617381053,3.9215686274509802
Эналаприл,Повышение креатинина,2,59,217,1.270150307676788,3.389830508474576
Торасемид,Сыпь,3,73,247,1.2695615599936185,4.10958904109589
Альфузозин,Кашель,1,39,195,1.2692885520649018,2.564102564102564
Гидралазин,Изжога,2,58,221,1.2684701755800594,3.4482758620689653
Парацетамол,Гиперкалиемия,3,86,210,1.2678883197460498,3.488372093023256
Сертралин,Головокружение,1,37,206,1.2653734626537347,2.7027027027027026
Метилдопа,Головокружение,1,37,206,1.2653734626537347,2.7027027027027026
Вальпроевая кислота,Тахикардия,2,59,218,1.2640827392308465,3.389830508474576
Флувоксамин,Тахикардия,2,59,218,1.2640827392308465,3.389830508474576
Никорандил,Метеоризм,2,55,234,1.2626871671188824,3.6363636363636362
Гидралазин,Тошнота,2,58,222,1.2625168061324825,3.4482758620689653
Рилменидин,Гипотензия,2,58,222,1.2625168061324825,3.4482758620689653
Ацетилсалициловая кислота,Анемия,2,69,187,1.2609563741639214,2.898550724637681
Эплеренон,Усталость,2,55,235,1.2570793892213172,3.6363636363636362
Никорандил,Усталость,2,55,235,1.2570793892213172,3.6363636363636362
Топирамат,Аллергические реакции,3,92,198,1.2566974810327338,3.260869565217391
Рилменидин,Нарушение вкуса,2,58,223,1.2566171917137776,3.4482758620689653
Гидралазин,Нарушение вкуса,2,58,223,1.2566171917137776,3.4482758620689653
Дулоксетин,Миалгия,2,60,216,1.2542585619508697,3.3333333333333335
Молсидомин,Сыпь,3,74,247,1.2516052454702762,4.054054054054054
Аторвастатин,Повышение печёночных ферментов,2,64,203,1.25151364764268,3.125
Пропранолол,Нарушение вкуса,3,82,223,1.251372666467006,3.6585365853658534
Гидралазин,Брадикардия,2,58,224,1.2507706075370388,3.4482758620689653
Транилципромин,Повышение печёночных ферментов,1,38,203,1.2502716049382716,2.631578947368421
Доксазозин,Гиперкалиемия,2,62,210,1.2484888122559805,3.225806451612903
Вальпроевая кислота,Изжога,2,59,221,1.2462117460631872,3.389830508474576
Рилменидин,Головная боль,2,58,225,1.2449763417869375,3.4482758620689653
Атенолол,Сыпь,4,96,247,1.244786059159776,4.166666666666666
Рамиприл,Гипогликемия,2,67,195,1.2445509596228574,2.9850746268656714
Рамиприл,Кашель,2,67,195,1.2445509596228574,2.9850746268656714
Фуросемид,Кашель,2,67,195,1.2445509596228574,2.9850746268656714
Азилсартан,Аллергические реакции,2,66,198,1.2441564589620688,3.0303030303030303
Нифедипин,Сонливость,2,50,261,1.2435691158651647,4.0
Омепразол,Анемия,2,70,187,1.2423515060892831,2.857142857142857
Симвастатин,Шум в ушах,2,62,211,1.2423321959012998,3.225806451612903
Миноксидил,Тахикардия,2,60,218,1.242277096780561,3.3333333333333335
Метилдопа,Гиперкалиемия,1,37,210,1.2404289403995161,2.7027027027027026
Метформин,Гипотензия,2,59,222,1.2403628117913832,3.389830508474576
Вальпроевая кислота,Гипотензия,2,59,222,1.2403628117913832,3.389830508474576
Флувоксамин,Отёки,2,59,222,1.2403628117913832,3.389830508474576
Метформин,Отёки,2,59,222,1.2403628117913832,3.389830508474576
Циталопрам,Сыпь,2,53,247,1.240088584817986,3.7735849056603774
Амлодипин,Сыпь,2,53,247,1.240088584817986,3.7735849056603774
Пропранолол,Головная боль,3,82,225,1.2397286410854356,3.6585365853658534
Варфарин,Диарея,2,58,226,1.2392336953308236,3.4482758620689653
Бупропион,Метеоризм,3,79,234,1.2370727988819716,3.79746835443038
Метформин,Нарушение вкуса,2,59,223,1.2345666895671803,3.389830508474576
Сертралин,Шум в ушах,1,37,211,1.234340936452673,2.7027027027027026
Этосуксимид,Сыпь,3,75,247,1.2341442775544742,4.0
Залеплон,Усталость,2,56,235,1.233817260279355,3.571428571428571
Диазепам,Усталость,2,56,235,1.233817260279355,3.571428571428571
Рилменидин,Лейкопения,2,58,227,1.2335419814375135,3.4482758620689653
Изосорбида мононитрат,Миалгия,2,61,216,1.232982703570939,3.278688524590164
Верапамил,Миалгия,2,61,216,1.232982703570939,3.278688524590164
Спиронолактон,Головокружение,1,38,206,1.2314355231143554,2.631578947368421
Транилципромин,Головокружение,1,38,206,1.2314355231143554,2.631578947368421
Миноксидил,Нарушение зрения,2,60,220,1.2305149719337363,3.3333333333333335
Агомелатин,Брадикардия,2,59,224,1.2288226673180263,3.389830508474576
Диазепам,Желудочно-кишечные расстройства,2,56,236,1.2283601650984919,3.571428571428571
Эдоксабан,Повышение креатинина,2,61,217,1.227066232525493,3.278688524590164
Моксонидин,Кашель,2,68,195,1.225641623438441,2.941176470588235
Амлодипин,Бессонница,2,53,250,1.2245316559551485,3.7735849056603774
Циталопрам,Бессонница,2,53,250,1.2245316559551485,3.7735849056603774
Топирамат,Повышение печёночных ферментов,3,92,203,1.2243831761378676,3.260869565217391
Эналаприл,Головная боль,2,59,225,1.2231300457153973,3.389830508474576
Атенолол,Кашель,3,96,195,1.221487603305785,3.125
Эдоксабан,Тахикардия,2,61,218,1.2212044171017138,3.278688524590164
Дулоксетин,Гипотензия,2,60,222,1.218966218966219,3.3333333333333335
Амилорид,Сонливость,2,51,261,1.2182518829917672,3.9215686274509802
Вальпроевая кислота,Диарея,2,59,226,1.2174881378909652,3.389830508474576
Клоназепам,Сыпь,2,54,247,1.2162738822616623,3.7037037037037033
Лоразепам,Запор,2,62,216,1.212410179352328,3.225806451612903
Доксазозин,Запор,2,62,216,1.212410179352328,3.225806451612903
Симвастатин,Запор,2,62,216,1.212410179352328,3.225806451612903
Небиволол,Повышение печёночных ферментов,2,66,203,1.2123223113470676,3.0303030303030303
Цефтриаксон,Повышение печёночных ферментов,2,66,203,1.2123223113470676,3.0303030303030303
Агомелатин,Лейкопения,2,59,227,1.2118962691603201,3.389830508474576
Изосорбида мононитрат,Нарушение зрения,2,61,220,1.2096417514374171,3.278688524590164
Доксепин,Сухость во рту,1,47,170,1.209154058426111,2.127659574468085
Дипиридамол,Сухость во рту,1,47,170,1.209154058426111,2.127659574468085
Флуоксетин,Нарушение зрения,3,86,220,1.2076674237731433,3.488372093023256
Миноксидил,Брадикардия,2,60,224,1.2076250840295784,3.3333333333333335
Ацетилсалициловая кислота,Гипогликемия,2,69,195,1.2072925638817111,2.898550724637681
Транилципромин,Гиперкалиемия,1,38,210,1.2071599045346062,2.631578947368421
Спиронолактон,Гиперкалиемия,1,38,210,1.2071599045346062,2.631578947368421
Метопролол,Повышение креатинина,2,62,217,1.2065923951602078,3.225806451612903
Моксонидин,Аллергические реакции,2,68,198,1.2063555836155273,2.941176470588235
Варфарин,Тромбоцитопения,2,58,232,1.2058241990286602,3.4482758620689653
Индапамид,Запор,1,37,216,1.204748434669294,2.7027027027027026
Метилдопа,Миалгия,1,37,216,1.204748434669294,2.7027027027027026
Ибупрофен,Диарея,3,84,226,1.2033186478362912,3.571428571428571
Флуоксетин,Изжога,3,86,221,1.2019485057345263,3.488372093023256
Фондапаринукс,Бессонница,3,76,250,1.2018278018278017,3.9473684210526314
Спиронолактон,Шум в ушах,1,38,211,1.2012351543942994,2.631578947368421
Транилципромин,Шум в ушах,1,38,211,1.2012351543942994,2.631578947368421
Клоназепам,Бессонница,2,54,250,1.2010156175146114,3.7037037037037033
Симвастатин,Тахикардия,2,62,218,1.2008283549329108,3.225806451612903
Доксазозин,Тахикардия,2,62,218,1.2008283549329108,3.225806451612903
Бисопролол,Анемия,1,43,187,1.1999053777006783,2.3255813953488373
Верапамил,Отёки,2,61,222,1.198288839345262,3.278688524590164
Парацетамол,Отёки,3,86,222,1.1962816962885163,3.488372093023256
Розувастатин,Сыпь,2,55,247,1.1933494489597807,3.6363636363636362
Никорандил,Сыпь,2,55,247,1.1933494489597807,3.6363636363636362
Индапамид,Тахикардия,1,37,218,1.1932923948984413,2.7027027027027026
Сертралин,Тахикардия,1,37,218,1.1932923948984413,2.7027027027027026
Ривароксабан,Кашель,2,70,195,1.1894792432901413,2.857142857142857
Метопролол,Нарушение зрения,2,62,220,1.189458554759158,3.225806451612903
Ацетилсалициловая кислота,Аллергические реакции,2,69,198,1.188295165394402,2.898550724637681
Телмисартан,Аллергические реакции,2,69,198,1.188295165394402,2.898550724637681
Флуоксетин,Брадикардия,3,86,224,1.18510158013544,3.488372093023256
Пропранолол,Усталость,3,82,235,1.1845134239534727,3.6585365853658534
Варфарин,Желудочно-кишечные расстройства,2,58,236,1.1845010094911033,3.4482758620689653
Гидралазин,Желудочно-кишечные расстройства,2,58,236,1.1845010094911033,3.4482758620689653
Карведилол,Изжога,2,62,221,1.1838513526233552,3.225806451612903
Кандесартан,Лейкопения,3,85,227,1.183059998650199,3.5294117647058822
Метилдопа,Нарушение зрения,1,37,220,1.182045121228196,2.7027027027027026
Сертралин,Нарушение зрения,1,37,220,1.182045121228196,2.7027027027027026
Розувастатин,Бессонница,2,55,250,1.1783786833148422,3.6363636363636362
Доксазозин,Отёки,2,62,222,1.1782950094638407,3.225806451612903
Лоразепам,Отёки,2,62,222,1.1782950094638407,3.225806451612903
Лозартан,Тахикардия,3,89,218,1.1764145755937931,3.3707865168539324
Эпросартан,Головокружение,2,67,206,1.1755538550551523,2.9850746268656714
Моксонидин,Повышение печёночных ферментов,2,68,203,1.1754883486632213,2.941176470588235
Агомелатин,Метеоризм,2,59,234,1.1741000467508182,3.389830508474576
Аторвастатин,Миалгия,2,64,216,1.1732400932400933,3.125
Транилципромин,Запор,1,38,216,1.1724361948955915,2.631578947368421
Спиронолактон,Запор,1,38,216,1.1724361948955915,2.631578947368421
Периндоприл,Гипогликемия,2,71,195,1.1721785362407748,2.8169014084507045
Цилостазол,Анемия,1,44,187,1.172136451881298,2.272727272727273
Фенофибрат,Сыпь,2,56,247,1.1712662792653077,3.571428571428571
Залеплон,Сыпь,2,56,247,1.1712662792653077,3.571428571428571
Метилдопа,Тошнота,1,37,222,1.1710009585948853,2.7027027027027026
Метилдопа,Гипотензия,1,37,222,1.1710009585948853,2.7027027027027026
Сертралин,Отёки,1,37,222,1.1710009585948853,2.7027027027027026
Вортиоксетин,Аллергические реакции,2,70,198,1.1707620586541854,2.857142857142857
Ривароксабан,Аллергические реакции,2,70,198,1.1707620586541854,2.857142857142857
Тамсулозин,Сонливость,2,53,261,1.1705669977739117,3.7735849056603774
Золпидем,Сонливость,2,53,261,1.1705669977739117,3.7735849056603774
Амлодипин,Сонливость,2,53,261,1.1705669977739117,3.7735849056603774
Моклобемид,Гиперкалиемия,2,66,210,1.1703195583068429,3.0303030303030303
Азилсартан,Гиперкалиемия,2,66,210,1.1703195583068429,3.0303030303030303
Эналаприл,Усталость,2,59,235,1.1688855786239642,3.389830508474576
Флувоксамин,Усталость,2,59,235,1.1688855786239642,3.389830508474576
Спиронолактон,Повышение креатинина,1,38,217,1.1668360277136258,2.631578947368421
Пропранолол,Сухость во рту,2,82,170,1.1647345043035922,2.4390243902439024
Азилсартан,Шум в ушах,2,66,211,1.1645482969787793,3.0303030303030303
Эналаприл,Желудочно-кишечные расстройства,2,59,236,1.163715583572819,3.389830508474576
Аторвастатин,Тахикардия,2,64,218,1.1620323325635102,3.125
Транилципромин,Тахикардия,1,38,218,1.161287356321839,2.631578947368421
